222,248, 
123,249, 
218,255, 
238,252, 
214,237, 
159,245, 
245,231, 
171,198, 
113,248, 
190,257, 
130,274, 
183,254, 
217,218, 
201,257, 
190,253, 
167,244, 
210,254, 
187,208, 
186,276, 
186,230, 
146,229, 
178,230, 
202,234, 
234,232, 
161,226, 
180,241, 
135,229, 
183,250, 
169,260, 
201,243, 
198,249, 
143,238, 
171,263, 
141,254, 
209,242, 
227,224, 
193,257, 
149,227, 
231,240, 
165,230, 
202,265, 
194,228, 
138,205, 
185,213, 
171,198, 
158,264, 
106,259, 
188,241, 
239,213, 
163,299 ,
